Experiment,v1_mean,v2_mean,a_mean,ndt_mean,alpha_mean,v1_median,v2_median,a_median,ndt_median,alpha_median
1009_class_words_part_1.dat,2.619884504704192,-2.707023873697757,1.179216481349725,0.42146741049172487,1.5706786417494523,2.619932159709503,-2.6992637626333815,1.1786826695488664,0.4225169261087395,1.5739218920628943
1005_class_words_part_2.dat,3.1042224523500535,-2.937715363905664,0.9060503048727725,0.41470007389448144,1.546617136265476,3.106121442428533,-2.9237896665720537,0.9041221932155368,0.4152665809459218,1.5501835028447855
2014_class_words_part_1.dat,3.0110406249274924,-2.8945841301678383,1.3459980956869664,0.47360869610145345,1.84724187525383,2.996275623162309,-2.891743243676375,1.3349214668357212,0.47477033894600623,1.852799084321801
2012_class_words_part_1.dat,1.8777587905954645,-1.952496130937006,1.0424602439381547,0.29707071820025444,1.0358737320460436,1.8680572032305123,-1.9398771654983675,1.0334927625955408,0.2972106336911271,1.0304255710484007
1002_class_words_part_2.dat,2.762811397590425,-3.0683444092701766,2.825056308974036,0.40971331524179333,1.5950571795904107,2.763414970116653,-3.065508336584024,2.836085243356936,0.4108367901951132,1.5997138829297075
3016_class_words_part_1.dat,2.809201175368881,-2.0672508109953234,1.1513574014239012,0.42169913447485435,1.566569948009756,2.8073903798609354,-2.0602565896565643,1.1505362459973105,0.422314211060004,1.5657634197741057
3013_class_pictures_part_2.dat,4.141783183101363,-4.47567558927614,1.6794108133460577,0.4860733263286402,1.8571393047924094,4.145074875059768,-4.518674146391827,1.6376058523695058,0.48954505840835205,1.8679457734880276
1005_class_pictures_part_2.dat,2.795965129449953,-2.6966633288561725,1.1773402562775477,0.5136368425333835,1.7358712069149647,2.7909965631678957,-2.6908653160521494,1.1704413392033886,0.5151002235670822,1.7423376030787985
2011_class_pictures_part_1.dat,1.060949599809044,-0.32751706971779343,1.2091955668231371,0.5643511957780237,1.8685114054393759,1.0593636179081107,-0.3246647879068083,1.2314351284010392,0.5659727693528732,1.916758807312602
017_class_words_part_1.dat,2.3936592503938043,-2.4768667473787738,1.1684115335028473,0.435903387922456,1.6455636748801161,2.3945210446840814,-2.473696081575807,1.1668428311727541,0.4366958093749874,1.6455563125303203
002_class_words_part_1.dat,2.1479560509409548,-1.512011806124901,1.1709404377990331,0.5229322286990782,1.9096776588120135,2.1422783352263286,-1.506821769381261,1.1701499659326209,0.5233735605149676,1.917373118509532
1020_class_pictures_part_1.dat,1.4526665113137838,-1.6243033179231259,1.5108410239230619,0.5865221624745158,1.8681681061390885,1.4501945796758524,-1.6335934049251872,1.5073550571470493,0.5879159152561222,1.8770723820039839
3026_class_words_part_1.dat,2.9785706820064823,-1.7503289149067474,1.3349299090424245,0.4792401653132204,1.9648163318418406,2.981351285413581,-1.7531574577660884,1.334759518382252,0.47952516834199754,1.9705139528051356
004_class_words_part_2.dat,2.06111693988931,-1.966115792337644,1.2885032167861485,0.3197316836553959,1.4401031614261837,2.0637939270461443,-1.9596526571389337,1.2894150815758245,0.3201112447029953,1.4380020114986167
2006_class_words_part_2.dat,3.822536731184033,-3.3387312494172154,1.0621451570247364,0.4271264519103803,1.7515858163948823,3.8133171388479723,-3.339909819648679,1.0596747920087375,0.427773690883961,1.7535728762717406
4003_class_pictures_part_1.dat,1.561294421894604,-2.4070822735937454,1.7598294625895676,0.5466159943243434,1.9578679941059969,1.5661480995175212,-2.406249685976034,1.7577685413641264,0.547715620922008,1.9648736974933028
2015_class_words_part_1.dat,2.324102815881161,-1.3784450673334168,1.2730975697980826,0.47062375631185777,1.8904232737400173,2.324349168226606,-1.3752060201188727,1.271511510520054,0.4710293675493433,1.8969609787397266
1023_class_pictures_part_2.dat,3.8524643439084776,-3.3668782209864987,1.4544902560425692,0.4820159721532262,1.8044184034149717,3.855882751777415,-3.3674054353182425,1.4210717863161033,0.4857127906597126,1.8157287696522004
1015_class_words_part_2.dat,2.519415905465667,-2.196079947772061,1.1856778470215474,0.4293801412760836,1.7883656577924563,2.5178757142812955,-2.194323236215566,1.186769376584157,0.43001236594472425,1.7955119168688034
1026_class_pictures_part_2.dat,1.6259667812502463,-2.1327300239017344,1.1976673364424457,0.5330060692906552,1.7020471099340315,1.6295211043118965,-2.125670783139513,1.1992294453064263,0.5343255740390218,1.705538626728417
1014_class_words_part_2.dat,1.4921548321222062,-0.34519663177633525,0.9679393968576419,0.43826667983434997,1.556528055839843,1.4885050889666656,-0.3435613966416535,0.9753333015523908,0.438540535774145,1.5621265253030945
3002_class_pictures_part_1.dat,2.160490196803038,-1.5025326103341734,1.1882824223500215,0.527940220352458,1.9593072207733389,2.169215991209531,-1.4952000772945993,1.1874146379913566,0.5286391348148611,1.9713352312861856
1016_class_words_part_1.dat,2.423380465862882,-2.6337456542116207,1.1699742595834006,0.43013302534128467,1.7516080946762567,2.422007030231807,-2.6337309519191097,1.1708071568588794,0.43077612268000887,1.753969592321345
1014_class_pictures_part_1.dat,1.015923882278993,-1.4150131005668667,0.9566477982822462,0.6185142066420354,1.647126367826679,1.0144810225963932,-1.4100775317591203,0.960390427837222,0.6192943629975247,1.6547787961044502
2002_class_pictures_part_1.dat,1.1586239087127748,-2.103297543595234,1.607661527033668,0.5786405272821326,1.9163187820044334,1.1562862352069905,-2.1025796021879577,1.608395927890588,0.5801672067739898,1.931108648280733
009_class_pictures_part_1.dat,2.175824192390054,-2.166949064022871,1.3770850408715793,0.5034464292113665,1.9017167584053305,2.164947579487997,-2.169342893240473,1.3725466048648904,0.5045643952315739,1.909743710222705
3008_class_words_part_2.dat,2.8666230499218033,-2.981642903835569,1.5141768522069006,0.3297111737552334,1.5310164533360775,2.8644058296606802,-2.9785084740118317,1.5118674814469872,0.3306853747557545,1.5335894110702402
2017_class_words_part_2.dat,4.7284154489196935,-4.083482916497739,1.8373004103344002,0.43552538367493815,1.8961963895139329,4.765417980570501,-4.072854670215366,1.8126750920205525,0.4381811325895886,1.9018724317828206
2009_class_words_part_1.dat,3.633730515664809,-2.2646090257343676,1.0194291132292348,0.4721965876219929,1.8882823102103625,3.634545769812514,-2.2630859221726514,1.017039821057328,0.47266330869032624,1.896642574169167
4004_class_pictures_part_1.dat,1.6728653525219843,-2.0160725674992825,1.2043997608372492,0.5164686046063419,1.8373787357847877,1.6737913558153932,-2.0282891405381287,1.2088514395866308,0.5175262878015036,1.8460751147704366
1010_class_pictures_part_2.dat,2.48495910331654,-2.727889573299852,1.1741108415076542,0.49322382166820955,1.7552781023948651,2.4860113788639135,-2.7195727429786247,1.1692982401297798,0.4944976040444678,1.7589219867920163
3004_class_pictures_part_2.dat,3.659210294825822,-4.47063119434421,1.4468653644478129,0.43549898389102826,1.6553173714211793,3.664633861806296,-4.52326451608989,1.4243145853889758,0.4390084937817156,1.6568382637815473
3019_class_pictures_part_1.dat,2.135393895311496,-0.3158721653440978,1.1853581453706692,0.5024751205521181,1.688187076738098,2.131367448689981,-0.3193096877193511,1.1937341856033945,0.5030388947737096,1.7024205134566557
009_class_pictures_part_2.dat,1.8896479132289783,-1.023152375629573,1.0128968872815807,0.5313670887902691,1.754428766331364,1.886475095485969,-1.0257915204104688,1.0224867557436812,0.5319476664642042,1.7712431567321125
4013_class_words_part_1.dat,2.278673609356251,-1.4898042362263693,1.1522453570086924,0.4031808997263162,1.7124609569105989,2.277521362255727,-1.4842830377513963,1.1547819199723979,0.40362862556043166,1.712220317742791
1022_class_words_part_1.dat,2.685627191857646,-2.4948220954316795,1.0713933134965736,0.4647488785014622,1.8798616663931653,2.686505097338153,-2.4942008072118087,1.069565870195152,0.46515139639213066,1.8861482666273663
1009_class_words_part_2.dat,3.064708214265419,-3.0615935505454868,1.1475642417539003,0.4034624154504442,1.7190685960993783,3.061480026557888,-3.054058520978925,1.1460732454855438,0.40435315902851243,1.7185415758184734
2018_class_pictures_part_2.dat,2.0469799725138076,-2.560146951693293,1.074519466150668,0.55125400251253,1.6729512823068613,2.0447104371515223,-2.5621249805319075,1.0744384299322922,0.5523641705106322,1.6774865715797516
1010_class_words_part_1.dat,3.649729510175173,-3.1411114112761345,1.082403272053944,0.42843389642076796,1.7823402264902157,3.637050957296157,-3.132752791084924,1.0754940877240975,0.42905077104715383,1.7865379027296724
010_class_words_part_1.dat,2.768566956803496,-2.6825144803420606,1.2995675684879637,0.3875313994782054,1.5094866503606317,2.7682949409210025,-2.6840750828757827,1.3001302802393986,0.3881861374481581,1.5120900832722146
1006_class_pictures_part_2.dat,1.3503482911972404,-2.3932292040008027,0.9774205889080029,0.5820838208452269,1.7704332469676405,1.3579622553761106,-2.396488169707686,0.9824167988217736,0.5828347598985115,1.7814388575491795
3017_class_words_part_1.dat,2.4911071114233994,-2.4221531006515344,1.3297036782658243,0.42535800999816153,1.7210965996963095,2.483131014701374,-2.419446475173495,1.3198246186087699,0.42656668224033356,1.723252057003526
1027_class_pictures_part_2.dat,1.769587936789951,-2.2763122612923103,2.1392331690735276,0.5007449866625688,1.9669899419243706,1.7668353011777058,-2.2671480616059494,2.1217923555974343,0.502481414770722,1.9771224478622842
3010_class_pictures_part_1.dat,1.2689599144218155,-1.5338215905278658,1.4376710465449203,0.5327170106275417,1.8873267119071975,1.2654505688320032,-1.5288728373967715,1.4408649722618168,0.53414604754772,1.896983562949039
4006_class_words_part_2.dat,1.5704783054193323,-2.1659972010607125,1.7043777037409538,0.42109242270321273,1.86491269114457,1.5656563669291628,-2.172406307007095,1.6988624650919835,0.421726874394998,1.868622212826848
3008_class_pictures_part_1.dat,1.7599896029287216,-3.285190547698754,1.6662419043838466,0.5729102857731284,1.9349110866968013,1.7546900523281366,-3.2832551072975207,1.6489747520517888,0.5741500108849884,1.9467340398698663
1015_class_pictures_part_2.dat,2.2238508046494014,-2.587490417854344,1.4952115972372704,0.42644921364141714,1.3306019793648247,2.2268018718811105,-2.5938880253448895,1.4986677406851068,0.42754570163060795,1.325996419052367
4013_class_pictures_part_2.dat,1.828697526454004,-1.898872742870698,0.9955671214044496,0.4846916397903281,1.6441425982750328,1.8282693247426796,-1.8927884731448605,0.9963793590760353,0.4853655874735464,1.6570196275770348
3018_class_words_part_2.dat,2.6105029684009944,-2.53367362788941,1.3114087698848798,0.41014798461088353,1.7584374637765574,2.612168430536494,-2.530673359264388,1.3108341772533376,0.41078225791440737,1.760374208385792
2002_class_pictures_part_2.dat,1.129070446912875,-2.033536515105416,1.5686905850727995,0.5037082541316986,1.9661713333143849,1.13361416378393,-2.0386134556449136,1.5671144864502913,0.5042695978220353,1.982022651933284
010_class_pictures_part_1.dat,1.8736346017731107,-2.1382684486598795,0.9561759338577378,0.5047739332986735,1.8339349572779544,1.872491998237343,-2.1392534306110593,0.9590552844357464,0.505427121632728,1.843056353041323
2015_class_pictures_part_1.dat,1.7155635349727476,-2.2478313103403478,2.0152349066193627,0.5935754249566407,1.8776990717630406,1.714009672312649,-2.242526491080465,1.9978872116583246,0.5965397239417305,1.889060697965347
