Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,v1_median,v2_median,zr_median,a_median,ndt_median,sndt_median,alpha_median
3027_class_pictures_part_2.dat,2.6152575403062768,-2.313345739315703,0.46185832831126433,1.1969971593443918,0.4615644086289884,-0.0006723166451521676,1.9187506178581133,2.612960104028952,-2.301957039603294,0.4617610816981364,1.184720905546699,0.462727326285399,-0.0001721230932348744,1.9340363495463255
018_class_words_part_1.dat,3.160182209624675,-2.359766177656799,0.40262321526590045,1.067454654371646,0.4657289619534419,0.016199135221033053,1.869080464863891,3.1529107043833937,-2.3633598878534086,0.40234803808431374,1.0614218274395562,0.4660637197464987,0.015584587947027051,1.8880930690349995
3022_class_words_part_1.dat,2.5429872489085645,-2.44395041794876,0.4572280774791832,1.0390405101929174,0.43882150301670436,0.010188849630141406,1.917330421118781,2.5462429919127874,-2.446434650657959,0.45791529773975603,1.037212727582619,0.43940114123285534,0.00992317232796544,1.9350243767051287
4007_class_words_part_2.dat,3.0749977255851766,-2.6870776146710758,0.504022794513451,1.226514927317915,0.4350576538528572,0.012502485414736758,1.9294297704748942,3.0687534193628907,-2.682328739538516,0.5033069956871807,1.2187710419582884,0.43553051338917204,0.011666126659678866,1.9434543184815727
3005_class_words_part_1.dat,2.696435515920888,-1.362718175970997,0.4684561995054547,1.0379110198839472,0.4724740157379721,0.02346124740704721,1.9307295758682843,2.691160095423985,-1.3603503813572773,0.46683979321799196,1.0405923034901212,0.47241562437346707,0.023126390108441683,1.9492438805361252
2005_class_pictures_part_2.dat,1.365279361973597,-1.5202238537616042,0.5544511070149551,1.2673824978004564,0.2748038017152602,0.02364620809209735,1.0433086274920789,1.3593631823498682,-1.4980820241272843,0.5551998497814781,1.2507806946582951,0.27512521768819864,0.0219321843242076,1.032724737863402
1012_class_pictures_part_2.dat,1.946169966977091,-0.3866123760175856,0.5068364878597185,1.066845215519352,0.5670966372639933,0.05597286841026653,1.8844886997337025,1.9368792110122706,-0.38732987175025846,0.5049982033934183,1.0801000842243058,0.5652583115448264,0.057529670487623384,1.9201711302701139
018_class_pictures_part_1.dat,2.582063223788169,-2.602114672241196,0.37840375408784704,1.6435887702287961,0.5676088365236931,0.018173595615547922,1.8078732949810012,2.570646204054511,-2.5998487784895357,0.3769027385074143,1.6128617734056836,0.5696402122030753,0.017359541173900844,1.826683810837906
1007_class_pictures_part_2.dat,2.736442086074438,-2.487709038712087,0.38611063155683256,1.7113732883570643,0.5023074114614169,-0.016030062674452762,1.928590801037832,2.734345226297603,-2.4953956286423997,0.38468709491011355,1.689459912139363,0.5050091743740397,-0.014298123588338332,1.938895859560274
1011_class_words_part_2.dat,2.5310613655885046,-1.9358008788272982,0.48590844999138666,0.8382538636550624,0.4344316553698509,0.011807294991561664,1.8460440880887121,2.533289288816971,-1.9304161391640098,0.48561559999882664,0.8467865157323655,0.4347152896268781,0.011238104030912452,1.8698982418437464
